No,行政區,違建地點,執行情形
74,文山區,景華街147巷10號4樓頂加蓋,處理中
75,南港區,研究院路一段151巷10號4樓頂,處理中
76,大安區,四維路208巷9之1號4樓頂,處理中
77,信義區,吳興街269巷1弄2.4號5樓頂[公告],處理中
78,中山區,新生北路三段54號4樓之1,處理中
79,士林區,光華路26巷3號4樓頂,已處理
80,大安區,基隆路二段132巷3號4樓頂,處理中
81,大安區,基隆路二段132巷1之1號4樓頂,已處理
82,松山區,民權東路三段103巷15之1號4樓頂,處理中
83,士林區,美崙街63號3樓頂,已處理
84,北投區,懷德街11巷18號4樓頂,處理中
85,萬華區,大理街181號5樓頂,處理中
86,北投區,尊賢街302巷1號4樓頂,處理中
87,內湖區,內湖路一段323巷25號5樓頂,處理中
88,內湖區,內湖路一段323巷23號5樓頂[更正],處理中
89,內湖區,內湖路一段691巷11號10樓後,處理中
90,中山區,新生北路二段137巷35號4樓頂,處理中
91,信義區,松隆路73巷4號5樓頂,處理中
92,文山區,羅斯福路五段212巷10之3號4樓頂,處理中
93,文山區,羅斯福路五段212巷10之4號4樓頂,處理中
94,文山區,興德路6巷22號3樓頂,處理中
95,南港區,成福路180巷6號5樓頂,處理中
96,松山區,南京東路五段63號14樓14F之1.14F之2.14F之3頂,處理中
97,文山區,興德路6巷20號3樓頂,處理中
98,中山區,民族東路252巷24號5樓頂,處理中
99,北投區,中央北路四段456巷5弄3號4樓頂,處理中
100,中山區,伊通街87巷9之3號3樓頂,處理中
101,信義區,中坡南路22巷8號5樓頂,處理中
102,信義區,中坡南路22巷6號5樓頂,處理中
103,信義區,吳興街284巷28弄8號4樓頂,處理中
104,文山區,興隆路一段260巷2號5樓頂,處理中
105,文山區,興隆路一段260巷4號5樓頂,處理中
106,中山區,建國北路二段6巷17號4樓頂,處理中
107,南港區,研究院路三段86巷27弄10號4樓頂,處理中
108,信義區,虎林街120巷16號2樓頂,處理中
109,信義區,虎林街120巷18號2樓頂,處理中
110,大安區,安居街9巷25號5樓頂,處理中
111,萬華區,西園路二段344號5樓頂,處理中
112,松山區,敦化北路153之39號頂[公告],處理中
113,大安區,羅斯福路三段269巷76號7樓頂,處理中
114,文山區,景華街147巷8號4樓頂,處理中
115,南港區,三重路79巷8弄2號4樓頂,處理中
116,信義區,忠孝東路五段423巷35號4樓頂,處理中
117,大安區,臥龍街250號5樓頂,處理中
118,大安區,樂業街72巷11及13號5樓頂,處理中
119,中山區,民權東路二段92巷8弄10號4樓頂,處理中
120,內湖區,安康路434巷31號5樓頂,處理中
121,南港區,昆陽街186號5樓頂,處理中
122,大安區,忠孝東路三段251巷3弄8號4樓頂,處理中
123,松山區,光復北路26巷10號10樓頂,處理中
124,大同區,民族西路187巷2之3號4樓頂,已處理
125,大安區,臨江街25號7樓頂一層,處理中
126,松山區,民權東路三段103巷33號4樓頂,處理中
127,中山區,中山北路二段137巷1號7樓之1旁,處理中
128,南港區,同德路66巷14號3樓頂,處理中
129,中山區,錦州街429號4樓頂,處理中
130,南港區,昆陽街82號4樓頂,處理中
131,南港區,昆陽街102號4樓頂,處理中
132,文山區,興隆路三段112巷5號5樓頂,處理中
133,內湖區,環山路一段116號4樓頂,處理中
134,內湖區,內湖路一段91巷48號5樓頂,處理中
135,中山區,新生北路二段101巷9號3樓頂,處理中
136,士林區,天母北路43巷1號7樓頂既存違建,處理中
137,大安區,辛亥路三段157巷24弄26號4樓頂,處理中
138,松山區,八德路三段12巷52弄9號5樓頂,處理中
139,大同區,重慶北路二段57巷19號3樓頂,已處理
140,文山區,富山路1巷13之1號4樓頂,處理中
141,信義區,松山路119巷17弄7號4樓頂,處理中
142,中正區,汀州路一段122號5樓頂,處理中
143,文山區,興隆路三段229巷9弄2號5樓頂,處理中
144,文山區,興隆路一段70巷11弄23之4號4樓頂,處理中
145,松山區,八德路四段171號7樓頂,處理中
146,中山區,錦州街175巷30號2樓頂,處理中
147,北投區,中央北路四段529號5樓頂,處理中
148,大同區,延平北路三段46號7樓之4頂樓,處理中
149,文山區,和興路8號5樓頂,已處理
150,內湖區,內湖路三段326巷5弄9號5樓頂,處理中
151,中正區,仁愛路一段55號4樓頂,處理中
152,萬華區,柳州街38號9樓頂,處理中
153,萬華區,和平西路三段392號5樓頂,處理中
154,松山區,興安街137號6樓頂,處理中
155,中山區,市民大道三段7號4樓頂,處理中
156,萬華區,昆明街216號5樓頂,處理中
157,內湖區,環山路一段136巷17號4樓頂,處理中
158,中山區,天津街43號4樓頂,處理中
159,萬華區,西園路二段140巷19號3樓頂[第一層],處理中
160,士林區,福港街277巷5號4樓頂,處理中
161,內湖區,新明路380巷4弄12號4樓頂,處理中
162,信義區,松山路541巷17號4樓頂,處理中
163,南港區,忠孝東路六段81巷18號4樓頂,處理中
164,內湖區,安康路402號4樓頂,處理中
165,中山區,五常街53巷19號5樓頂,處理中
166,內湖區,康寧路一段214巷4號,處理中
167,內湖區,麗山街348巷10弄2號5樓頂,處理中
168,內湖區,康樂街20巷8號5樓頂,處理中
169,南港區,忠孝東路六段269巷1弄1號4樓頂,處理中
170,中山區,新生北路三段87巷23號4樓頂,處理中
171,中山區,新生北路三段87巷25號4樓頂,處理中
172,中正區,汀州路一段220號7樓頂,已處理
173,大安區,通化街140巷17號5樓頂,處理中
174,文山區,景興路41號4樓頂,處理中
175,大安區,臨江街40巷4號5樓頂,處理中
176,萬華區,開封街二段47號9樓頂二層[公告],處理中
177,內湖區,民權東路六段296巷53號5樓頂,處理中
178,內湖區,內湖路三段67號5樓頂,處理中
179,松山區,新中街4巷4號4樓頂,處理中
180,內湖區,陽光街92巷7弄7號5樓頂,處理中
181,大安區,和平東路二段311巷34弄6號4樓頂,已處理
182,中正區,羅斯福路一段90巷2號4樓頂,處理中
183,內湖區,內湖路一段323巷4弄29號5樓頂,處理中
184,北投區,明德路18巷1弄7號4樓頂,處理中
185,北投區,大業路280巷25之1號4樓頂,處理中
186,信義區,吳興街284巷36弄8號5樓頂,處理中
187,文山區,保儀路109巷21弄2號4樓頂,處理中
188,中山區,合江街17巷6之3號4樓頂,處理中
189,士林區,承德路四段80巷56及54號5樓頂,處理中
190,萬華區,西藏路330巷10號4樓頂,處理中
191,中正區,羅斯福路四段136巷6弄11號5樓頂,處理中
192,北投區,致遠二路5巷6號4樓頂,處理中
193,信義區,基隆路二段39巷9號7樓,處理中
194,松山區,南京東路五段251巷24弄16號7樓頂,處理中
195,大安區,四維路52巷12之3號頂,處理中
196,信義區,和平東路三段391巷8弄49號4樓頂,已處理
197,信義區,和平東路三段391巷8弄51號4樓頂,已處理
198,松山區,南京東路五段389巷6弄15號5樓頂,處理中
199,大安區,辛亥路三段157巷24弄3號4樓頂,處理中
200,大安區,延吉街137巷7弄4號5樓頂,處理中
201,文山區,萬慶街32巷28號4樓頂,處理中
202,文山區,萬慶街32巷30號4樓頂,處理中
203,中正區,羅斯福路三段128巷21號6樓頂,其他
204,中山區,吉林路239號7樓頂,處理中
205,南港區,南港路二段118巷8弄8號5樓頂,處理中
206,內湖區,內湖路一段673號5樓頂,處理中
207,中山區,伊通街19巷34號4樓頂,處理中
208,松山區,新東街65巷6號5樓頂,處理中
