士林區B1074,106.7.17
中山區B166,97.9.1
中山區B160,97.8.22
中山區B150,97.7.2
中山區B091,97.5.30
中山區B127,97.3.26
中山區B117,97.3.5
中山區B116,97.3.5
中山區B114,97.2.26
中山區B108,97.1.17
中山區B106,97.1.7
中山區B105,97.1.7
中山區B092,96.10.11
中山區B090,96.10.9
中山區B0072,96.7.20
中山區B0066,96.7.16
中山區B0065,96.6.28
中山區B0064,96.6.23
中山區B0055,96.5.22
中山區B0054,96.5.17
中山區B0050,96.4.30
中山區B0049,96.4.30
中山區B0047,96.3.26
中山區B0041,95.12.27
中山區B0033,95.10.26
中山區P0015,93.5.3
中山區B0005,91.7.30
中山區B004,91.5.14
Download,107.3.20
中正區B1047,105.10.27
中正區B1031,105.8.5
中正區B1030,105.8.2
中正區B1013,105.1.15
中正區B1008,105.1.4
中正區B0997,104.10.26
中正區B0992,104.10.6
中正區B0989,104.10.2
中正區B0980,104.8.11
中正區B0978,104.8.4
中正區B0964,104.6.30
中正區B0952,104.6.3
中正區B0950,104.5.27
中正區B0938,104.5.5
中正區B0933,104.4.30
中正區B0928,104.4.24
中正區B0905,104.4.8
中正區B0883,103.11.13
中正區B0866,103.10.03
中正區B0867,103.9.22
中正區B0851,103.7.22
中正區B0844,103.7.21
中正區B0834,103.4.23
中正區B0805,102.12.4
中正區B0782,102.10.18
中正區B0783,102.10.17
中正區B0770,102.9.27
中正區B0755,102.9.2
中正區B0751,102.8.7
中正區B0740,102.6.19
中正區B0714,102.4.11
中正區B669,101.12.21
中正區B0664,101.12.10
中正區B0662,101.12.6
中正區B0658,101.12.3
中正區B0633,101.9.5
中正區B0627,101.8.16
中正區B0622,101.7.27
中正區B0621,101.7.27
中正區B0612,101.7.12
中正區B0548,100.9.28
中正區B0519,100.7.11
中正區B0518,100.7.11
中正區B0517,100.7.11
中正區B0516,100.7.11
中正區B0493,100.5.20
中正區B0486,100.4.29
中正區B0464,99.11.26
中正區B0463,99.11.26
中正區B0439-1,99.9.30
中正區B441,99.9.21
中正區B438,99.8.25
中正區B0472,99.7.22
中正區B339_v1,99.6.3
中正區B398,99.6.3
中正區B386,99.5.7
中正區B361,99.3.30
中正區B0468,99.2.6
中正區B0337,99.1.8
中正區B0336,99.1.8
中正區B0335,99.1.8
中正區B0334,98.12.30
中正區B323,98.11.12
中正區B305,98.9.14
中正區B302,98.9.4
中正區B301,98.9.4
中正區B288,98.8.12
中正區B289,98.8.12
中正區B277,98.7.10
中正區B278,98.7.10
中正區B267,98.6.1
中正區B0255,98.4.29
中正區B0250,98.4.10
中正區B0249,98.4.10
中正區B0248,98.4.10
中正區B0247,98.4.10
中正區B0232,98.2.27
中正區B0227,98.2.10
中正區B0226,98.2.10
中正區B0215,98.1.8
中正區B0207,97.12.9
中正區B0206,97.12.9
中正區B0205,97.12.9
中正區B0204,97.12.9
中正區B0203,97.12.9
中正區B0202,97.12.9
中正區B0191,97.11.7
中正區B0190,97.11.7
中正區B0189,97.11.7
中正區B0174,97.10.7
中正區B0164,97.8.28
中正區B0157,97.7.30
中正區B0156,97.7.30
中正區B0148,97.6.25
中正區B0147,97.6.25
中正區B0145,97.6.10
中正區B0144,97.6.10
中正區B0083,97.5.26
中正區B0136,97.5.13
中正區B0121,97.3.7
中正區B0112,97.1.18
中正區B0103,96.11.23
中正區B0081,96.8.14
中正區B0036,95.11.16
中正區B0027,95.9.22
中正區B0007,92.3.5
Download,106.11.21
內湖區B1051,105.11.29
內湖區B1025,105.5.23
內湖區B1006,104.12.21
內湖區B0993,104.10.13
內湖區B0977,104.7.31
內湖區B0970,104.7.17
內湖區B0963,104.6.29
內湖區B0931,104.4.28
內湖區B0911,104.4.14
內湖區B0906,104.3.31
內湖區B0893,103.12.12
內湖區B0853,103.7.22
內湖區B0823,103.3.5
內湖區B0814,103.1.8
內湖區B0793,102.11.6
內湖區B0789,102.10.30
內湖區B0765,102.9.17
內湖區B0762,102.9.16
內湖區B0728,102.5.31
內湖區B0727,102.5.30
內湖區B0698,102.3.21
內湖區B0620,101.7.24
內湖區B0613,101.7.3
內湖區B0560,100.10.24
內湖區B0507,100.6.23
內湖區B0506,100.6.8
內湖區B0505,100.6.8
內湖區B0484,100.4.26
內湖區B471,99.12.22
內湖區B414,99.8.3
內湖區B393,99.5.31
內湖區B383,99.4.26
內湖區B351,99.2.10
內湖區B333,98.12.30
內湖區B268,98.5.21
內湖區B228,98.2.13
內湖區B170,97.10.1
內湖區B1057,97.8.27
內湖區B155,97.7.30
內湖區B118,97.3.6
內湖區B115,97.3.4
內湖區B0073,96.7.24
內湖區B0045,96.3.16
內湖區B0011,93.1.19
文山區B1086,106.10.13
文山區B1082,106.9.13
文山區B1052,105.12.19
文山區B0974,104.7.31
文山區B0960,103.6.18
文山區B0958,104.6.12
文山區B0917,104.4.16
文山區B0903,104.4.1
文山區B0865,103.9.15
文山區B0831,103.4.10
文山區B0829,103.3.26
文山區B0827,103.3.13
文山區B0750,102.8.5
文山區B0743,102.6.26
文山區B0739,102.6.25
文山區B0734,102.6.19
文山區B0730,102.6.6
文山區B0715,102.4.17
文山區B0697,102.3.21
文山區B0689,102.2.19
文山區B0678,102.1.23
文山區B671,101.12.27
文山區B670,101.12.22
文山區B0650,101.11.13
文山區B0649,101.11.8
文山區B0611,101.3.23
文山區B0567,101.2.10
文山區B0543,100.9.28
文山區B0542,100.9.28
文山區B0531,100.9.5
文山區B0521,100.8.12
文山區B0515,100.7.11
文山區B0501,100.6.8
文山區B0500,100.6.8
文山區B454,99.10.25
文山區B435,99.8.30
文山區B0433,99.8.27
文山區B416,99.8.6
文山區B0466,98.12.30
文山區B319,98.10.28
文山區B328,98.11.18
文山區B299,98.9.4
文山區B284,98.7.28
文山區B233,98.2.6
文山區B221,98.1.21
文山區B200,97.12.10
文山區B158,97.7.31
文山區B140,97.5.22
文山區B135,97.5.9
文山區B129,97.3.27
文山區B128,97.3.27
文山區B100,96.11.20
文山區B097,96.10.30
文山區B0040,95.12.5
文山區B0025,95.6.19
文山區B0014,93.5.13
文山區A0010,92.8.25
文山區A0003,91.2.21
Download,106.11.10
北投區B1091,106.10.26
北投區B1089,106.10.25
北投區B1075,106.8.2
北投區B1060,106.2.23
北投區B1040,105.9.7
北投區B1037,105.8.26
北投區B1028,105.7.12
北投區B1002,104.12.8
北投區B0999,104.10.29
北投區B0968,104.7.13
北投區B0967,104.7.8
北投區B0959,104.6.25
北投區B0953,104.6.3
北投區B0951,104.6.1
北投區B0942,104.5.18
北投區B0920,104.4.24
北投區B0914,104.4.17
北投區B0910,104.4.14
北投區B0908,104.4.9
北投區B0900,104.3.30
北投區B0894,103.12.16
北投區B0885,103.11.14
北投區B0876,103.10.28
北投區B0875,103.10.27
北投區B0868,103.9.23
北投區B0863,103.9.2
北投區B0857,103.8.8
北投區B0841,103.7.11
北投區B0820,103.2.26
北投區B0788,102.10.25
北投區B0752,102.8.16
北投區B0742,102.6.27
北投區B0741,102.6.26
北投區B0735,102.6.21
北投區B0721,102.4.30
北投區B0720,102.4.29
北投區B0711,102.4.9
北投區B0703,102.4.1
北投區B0699,102.3.27
北投區B668,101.12.22
北投區B0640,101.9.24
北投區B0634,101.9.10
北投區B0632,101.9.10
北投區B0625,101.8.3
北投區B0614,101.6.5
北投區B0570,101.2.21
北投區B0545,100.9.30
北投區B0525,100.8.23
北投區B0524,100.8.9
北投區B0523,100.8.9
北投區B0481,100.4.27
北投區B0480,100.4.27
北投區B0479,100.4.27
北投區B0478,100.4.27
北投區B0477,100.4.27
北投區B450,99.10.21
北投區B449,99.10.21
北投區B417,99.8.6
北投區B394,99.5.31
北投區B376,99.4.8
北投區B375,99.4.8
北投區B374,99.4.8
北投區B235,98.2.5
北投區B149,98.7.7
北投區B298,98.9.3
北投區B258,98.5.6
北投區B254,98.4.29
北投區B239,98.3.4
北投區B167,97.9.10
北投區B130,97.4.3
北投區B125,97.3.14
北投區B107,97.1.11
北投區B0074,96.7.25
北投區B0043,96.1.17
北投區B029,95.10.23
北投區B009,92.5.14
北投區P0001,90.6.14
松山區B1088,106.10.23
松山區B1085,106.10.6
松山區B1084,106.9.26
松山區B1070,106.6.12
松山區B1036,105.8.17
松山區B1009,104.12.28
松山區B1003,104.12.15
松山區B0987,104.9.1
松山區B0966,104.7.7
松山區B0954,104.5.29
松山區B0943,104.5.18
松山區B0940,104.5.7
松山區B0937,104.5.1
松山區B0926,104.4.23
松山區B0915,104.4.17
松山區B0916,104.4.16
松山區B0902,104.4.1
松山區B0899,103.12.24
松山區B0895,103.12.18
松山區B0892,103.12.9
松山區B0874,103.10.24
松山區B0873,103.10.16
松山區B0859,103.8.13
松山區B0854,103.7.24
松山區K0850,103.7.22
松山區B0835,103.4.28
松山區B0833,103.4.14
松山區B0822,103.3.5
松山區B0811,102.12.30
松山區B0798,102.11.7
松山區B0794,102.10.30
松山區B0784,102.10.24
松山區B0744,102.6.28
松山區C0736,102.6.13
松山區B0722,102.5.15
松山區B0716,102.4.18
松山區B0681,102.1.24
松山區B0659,101.11.30
松山區B0652,101.11.13
松山區B0646,101.10.30
松山區B0647,101.10.24
松山區B0641,101.10.18
松山區B0595,101.6.6
松山區B0592,101.5.22
松山區B0581,101.4.13
松山區B0557,100.11.9
松山區B0556,100.11.9
松山區B0541,100.9.22
松山區B0540,100.9.22
松山區B0539,100.9.22
松山區B0522,100.8.3
松山區B0509,100.6.8
松山區B470,99.11.17
松山區B469,99.10.27
松山區B423,99.8.20
松山區B400,99.6.9
松山區B384_v1_20120214,99.4.30
松山區B382_v1_20120214,99.4.28
松山區B373,99.4.2
松山區B0358,99.2.26
松山區B0353,99.2.10
松山區B330,98.11.30
松山區B318,98.10.23
松山區B287,98.8.10
松山區B271,98.6.8
松山區B0257,98.5.7
松山區B0256,98.5.7
松山區B257,98.5.6
松山區B245,98.3.30
松山區B224,98.1.21
松山區B214,98.1.7
松山區B186,97.11.6
松山區B185,97.11.6
松山區B175,97.10.8
松山區B163,97.8.27
松山區B162,97.8.27
松山區B082,97.5.23
松山區B143,97.5.23
松山區B132,97.4.23
松山區B119,97.3.7
松山區B078,96.8.2
松山區B071,96.7.18
松山區B0062,96.6.20
松山區B046,96.3.26
松山區B0031,95.10.23
松山區B030,95.10.23
松山區B021,95.2.17
松山區B008,92.3.31
松山區P0002,90.8.7
信義區B1087,106.10.11
信義區B1063,106.2.3
信義區B1034,105.8.18
信義區B1020,105.4.11
信義區B1007,104.12.31
信義區B0956,104.6.5
信義區B0939,104.5.8
信義區B0913,104.4.17
信義區B0909,104.4.10
信義區B0904,104.4.9
信義區B0812,102.12.30
信義區B0801,102.11.15
信義區B0780,102.10.23
信義區B0763,102.9.14
信義區B0756,102.9.4
信義區B0738,102.6.14
信義區B0691,102.3.11
信義區B0687,102.2.8
信義區B0684,102.2.1
信義區B0677,102.1.18
信義區B0654,101.11.15
信義區B0653,101.11.15
信義區B0590,101.5.23
信義區B0586,101.5.11
信義區B0580,101.4.30
信義區B0579,101.4.26
信義區B0578,101.4.11
信義區B0577,101.4.10
信義區B0576,101.4.10
信義區B0575,101.4.3
信義區B0574,101.4.3
信義區B0573,101.4.2
信義區B0572,101.3.29
信義區B0571,101.3.28
信義區B0565,101.2.8
信義區B0562,100.11.25
信義區B0551,100.10.31
信義區B0532,100.9.16
信義區B0511,100.6.23
信義區B0510,100.6.23
信義區B0495,100.5.20
信義區B0494,100.5.20
信義區B0465,99.11.26
信義區B0468,99.10.27
信義區B440,99.9.21
信義區B429,99.8.12
信義區B425,99.8.12
信義區B424,99.8.12
信義區B402,99.6.23
信義區B388,99.4.16
信義區B356,99.2.10
信義區B355,99.2.10
信義區B346,99.1.25
信義區B347,99.1.25
信義區B329,98.11.27
信義區B308,98.10.8
信義區B293,98.9.4
信義區B294,98.8.28
信義區B279,98.7.10
信義區B75,98.7.10
信義區B276,98.6.15
信義區B275,98.6.15
信義區B265,98.5.8
信義區B264,98.5.8
信義區B263,98.5.8
信義區B231,98.2.18
信義區B230,98.2.18
信義區B223,98.1.22
信義區B209,97.12.25
信義區B181,97.10.28
信義區B169,97.9.26
信義區B139,97.5.21
信義區B138,97.5.21
信義區B133,97.4.23
信義區B131,97.4.23
信義區B124,97.3.14
信義區B123,97.3.14
信義區B122,97.3.14
信義區B120,97.3.7
信義區B109,97.1.18
信義區B98,96.11.19
信義區B0077,96.07.27
信義區B0076,96.7.27
信義區B0075,97.7.27
信義區B0070,96.7.18
信義區B0063,96.6.20
信義區B0048,96.3.30
信義區B0043-1,95.12.13
信義區B35,95.11.3
信義區B0018,94.11.24
南港區B1080,106.9.4
南港區B0972,104.7.23
南港區B0973,104.7.24
南港區B0965,104.6.30
南港區B0925,104.4.23
南港區B0924,104.4.23
南港區B0872,103.10.8
南港區B0837,103.7.4
南港區B0846,103.7.18
南港區B0725,102.5.29
南港區B0717,102.4.17
南港區B0680,102.1.23
南港區B0623,101.7.31
南港區B0561,100.12.5
南港區B0503,100.6.16
南港區B0475,100.4.21
南港區B0474,100.4.21
南港區B0446,99.8.26
南港區B0392,99.5.28
南港區B0380,99.4.26
南港區B0379,99.4.15
南港區B0303,98.9.14
南港區B0304,98.9.14
南港區P0354,99.2.10
南港區B0246,98.4.9
南港區A171,97.10.1
南港區B0168,97.9.19
南港區B0142,97.5.23
南港區B0141,97.5.23
南港區B0134,97.5.5
南港區P0111,97.1.18
南港區B0017,94.9.23
Download,106.12.5
萬華區B1077,106.8.25
萬華區B1068,106.5.8
萬華區B1067,106.5.3
萬華區B1005,104.12.15
萬華區B0947,104.5.25
萬華區B0946,104.5.21
萬華區B0934,104.4.30
萬華區B0847,103.7.21
萬華區B0849,103.7.22
萬華區B0843,103.7.16
萬華區B0808,102.12.9
萬華區B0802,102.11.15
萬華區B0772,102.9.30
萬華區B0773,102.9.30
萬華區B0768,102.9.16
萬華區B0767,102.9.16
萬華區B0758,102.9.9
萬華區B0719,102.4.24
萬華區B0682,102.1.28
萬華區B0663,101.12.6
萬華區B0645,101.10.26
萬華區B0641,101.9.21
萬華區B0629,101.8.27
萬華區B0600,101.6.21
萬華區B0599,101.6.21
萬華區B0594,101.6.8
萬華區B0566,101.2.9
萬華區B0546,100.10.12
萬華區B0544,100.9.28
萬華區B0520,100.7.11
萬華區B0502,100.6.15
萬華區B0485,100.4.29
萬華區B467,99.11.26
萬華區B0451,99.10.27
萬華區B0473,99.9.1
萬華區B428,99.8.12
萬華區B427,99.8.12
萬華區B421,99.8.6
萬華區B420,99.8.6
萬華區B405,99.7.22
萬華區B403,99.6.23
萬華區B391,99.5.26
萬華區B390,99.5.26
萬華區B389,99.5.26
萬華區B0378,99.4.14
萬華區B357,99.2.25
萬華區B311,98.10.20
萬華區B219,98.1.13
萬華區B218,98.1.13
萬華區B184,97.10.30
萬華區B183,97.10.30
萬華區B137,97.5.15
萬華區B113,97.2.26
萬華區B006,92.2.25
